Ticker,Company,Sector,Index
MMM,3M,Industrials,SandP500
AOS,A. O. Smith,Industrials,SandP500
ABT,Abbott Laboratories,Health Care,SandP500
ABBV,AbbVie,Health Care,SandP500
ACN,Accenture,Information Technology,SandP500
ADBE,Adobe Inc.,Information Technology,SandP500
AMD,Advanced Micro Devices,Information Technology,SandP500
AES,AES Corporation,Utilities,SandP500
AFL,Aflac,Financials,SandP500
A,Agilent Technologies,Health Care,SandP500
APD,Air Products,Materials,SandP500
ABNB,Airbnb,Consumer Discretionary,SandP500
AKAM,Akamai Technologies,Information Technology,SandP500
ALB,Albemarle Corporation,Materials,SandP500
ARE,Alexandria Real Estate Equities,Real Estate,SandP500
ALGN,Align Technology,Health Care,SandP500
ALLE,Allegion,Industrials,SandP500
LNT,Alliant Energy,Utilities,SandP500
ALL,Allstate,Financials,SandP500
GOOGL,Alphabet Inc. (Class A),Communication Services,SandP500
GOOG,Alphabet Inc. (Class C),Communication Services,SandP500
MO,Altria,Consumer Staples,SandP500
AMZN,Amazon,Consumer Discretionary,SandP500
AMCR,Amcor,Materials,SandP500
AEE,Ameren,Utilities,SandP500
AEP,American Electric Power,Utilities,SandP500
AXP,American Express,Financials,SandP500
AIG,American International Group,Financials,SandP500
AMT,American Tower,Real Estate,SandP500
AWK,American Water Works,Utilities,SandP500
AMP,Ameriprise Financial,Financials,SandP500
AME,Ametek,Industrials,SandP500
AMGN,Amgen,Health Care,SandP500
APH,Amphenol,Information Technology,SandP500
ADI,Analog Devices,Information Technology,SandP500
ANSS,Ansys,Information Technology,SandP500
AON,Aon plc,Financials,SandP500
APA,APA Corporation,Energy,SandP500
APO,Apollo Global Management,Financials,SandP500
AAPL,Apple Inc.,Information Technology,SandP500
AMAT,Applied Materials,Information Technology,SandP500
APTV,Aptiv,Consumer Discretionary,SandP500
ACGL,Arch Capital Group,Financials,SandP500
ADM,Archer Daniels Midland,Consumer Staples,SandP500
ANET,Arista Networks,Information Technology,SandP500
AJG,Arthur J. Gallagher & Co.,Financials,SandP500
AIZ,Assurant,Financials,SandP500
T,AT&T,Communication Services,SandP500
ATO,Atmos Energy,Utilities,SandP500
ADSK,Autodesk,Information Technology,SandP500
ADP,Automatic Data Processing,Industrials,SandP500
AZO,AutoZone,Consumer Discretionary,SandP500
AVB,AvalonBay Communities,Real Estate,SandP500
AVY,Avery Dennison,Materials,SandP500
AXON,Axon Enterprise,Industrials,SandP500
BKR,Baker Hughes,Energy,SandP500
BALL,Ball Corporation,Materials,SandP500
BAC,Bank of America,Financials,SandP500
BAX,Baxter International,Health Care,SandP500
BDX,Becton Dickinson,Health Care,SandP500
BRK.B,Berkshire Hathaway,Financials,SandP500
BBY,Best Buy,Consumer Discretionary,SandP500
TECH,Bio-Techne,Health Care,SandP500
BIIB,Biogen,Health Care,SandP500
BLK,BlackRock,Financials,SandP500
BX,Blackstone Inc.,Financials,SandP500
BK,BNY Mellon,Financials,SandP500
BA,Boeing,Industrials,SandP500
BKNG,Booking Holdings,Consumer Discretionary,SandP500
BWA,BorgWarner,Consumer Discretionary,SandP500
BSX,Boston Scientific,Health Care,SandP500
BMY,Bristol Myers Squibb,Health Care,SandP500
AVGO,Broadcom,Information Technology,SandP500
BR,Broadridge Financial Solutions,Industrials,SandP500
BRO,Brown & Brown,Financials,SandP500
BF.B,Brown–Forman,Consumer Staples,SandP500
BLDR,Builders FirstSource,Industrials,SandP500
BG,Bunge Global,Consumer Staples,SandP500
BXP,"BXP, Inc.",Real Estate,SandP500
CHRW,C.H. Robinson,Industrials,SandP500
CDNS,Cadence Design Systems,Information Technology,SandP500
CZR,Caesars Entertainment,Consumer Discretionary,SandP500
CPT,Camden Property Trust,Real Estate,SandP500
CPB,Campbell's Company (The),Consumer Staples,SandP500
COF,Capital One,Financials,SandP500
CAH,Cardinal Health,Health Care,SandP500
KMX,CarMax,Consumer Discretionary,SandP500
CCL,Carnival,Consumer Discretionary,SandP500
CARR,Carrier Global,Industrials,SandP500
CAT,Caterpillar Inc.,Industrials,SandP500
CBOE,Cboe Global Markets,Financials,SandP500
CBRE,CBRE Group,Real Estate,SandP500
CDW,CDW Corporation,Information Technology,SandP500
CE,Celanese,Materials,SandP500
COR,Cencora,Health Care,SandP500
