Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Index,Ticker
1995-07-10 00:00:00-04:00,6.404213905334472,6.641407012939452,6.404213905334472,6.641407012939453,5438000,0.0,0.0,SandP500,FCX
1995-07-11 00:00:00-04:00,6.8108317565917975,6.8108317565917975,6.709177551269532,6.776947021484375,4907000,0.0,0.0,SandP500,FCX
1995-07-12 00:00:00-04:00,6.776947952343517,7.081910610198975,6.743063212581799,7.081910610198975,1055800,0.0,0.0,SandP500,FCX
1995-07-13 00:00:00-04:00,7.048025870437257,7.115795349960692,7.014141130675539,7.081910610198975,1373600,0.0,0.0,SandP500,FCX
1995-07-14 00:00:00-04:00,7.048024654388428,7.081909388303757,7.014139920473099,7.048024654388428,985600,0.0,0.0,SandP500,FCX
1995-07-17 00:00:00-04:00,7.048023426590335,7.048023426590335,6.980253970565428,7.014138698577881,947600,0.0,0.0,SandP500,FCX
1995-07-18 00:00:00-04:00,7.014140225873135,7.014140225873135,6.810831813528986,6.844716548919678,727400,0.0,0.0,SandP500,FCX
1995-07-19 00:00:00-04:00,6.810828931708084,6.810828931708084,6.336442836962248,6.43809700012207,558200,0.0,0.0,SandP500,FCX
1995-07-20 00:00:00-04:00,6.370330124305038,6.404214859008788,6.370330124305038,6.404214859008789,464600,0.0,0.0,SandP500,FCX
1995-07-21 00:00:00-04:00,6.438099238538989,6.607522902711068,6.438099238538989,6.539753437042236,721200,0.0,0.0,SandP500,FCX
1995-07-24 00:00:00-04:00,6.539753437042236,6.641407635545484,6.539753437042236,6.539753437042236,509000,0.0,0.0,SandP500,FCX
1995-07-25 00:00:00-04:00,6.573638439178466,6.709177376068744,6.5397537049558965,6.573638439178467,847000,0.0,0.0,SandP500,FCX
1995-07-26 00:00:00-04:00,6.641407411489914,6.81083106994629,6.641407411489914,6.810831069946289,1584800,0.0,0.0,SandP500,FCX
1995-07-27 00:00:00-04:00,6.776945799299814,6.9802541732788095,6.776945799299814,6.980254173278809,2082600,0.0,0.0,SandP500,FCX
1995-07-28 00:00:00-04:00,6.980256167720985,7.420757770538329,6.878601951686214,7.42075777053833,14640800,0.0,0.0,SandP500,FCX
1995-07-31 00:00:00-04:00,7.386872715420193,7.386872715420193,7.183564292060003,7.319103240966797,2544600,0.0,0.0,SandP500,FCX
1995-08-01 00:00:00-04:00,7.285218664178267,7.285218664178267,7.1835644502595,7.217449188232422,1956000,0.0,0.0,SandP500,FCX
1995-08-02 00:00:00-04:00,7.217448417776324,7.217448417776324,6.844716339862993,6.87860107421875,2307600,0.0,0.0,SandP500,FCX
1995-08-03 00:00:00-04:00,6.810831516981125,7.048024654388428,6.810831516981125,7.048024654388428,1762800,0.0,0.0,SandP500,FCX
1995-08-04 00:00:00-04:00,6.980255277286022,7.014140011641779,6.776946871151478,6.87860107421875,903800,0.0,0.0,SandP500,FCX
1995-08-07 00:00:00-04:00,6.844715801637565,6.844715801637565,6.74306160656374,6.810831069946289,837000,0.0,0.0,SandP500,FCX
1995-08-08 00:00:00-04:00,6.7769481908136875,6.810832931767756,6.743063449859619,6.743063449859619,729000,0.0,0.0,SandP500,FCX
1995-08-09 00:00:00-04:00,6.743061201913015,6.743061201913015,6.6075222832815985,6.641407012939453,586600,0.0,0.0,SandP500,FCX
1995-08-10 00:00:00-04:00,6.6414070803709695,6.810830730380434,6.6414070803709695,6.709176540374756,1319400,0.0,0.0,SandP500,FCX
1995-08-11 00:00:00-04:00,6.709177551269532,6.844716491699219,6.709177551269532,6.776947021484375,1152000,0.0,0.0,SandP500,FCX
1995-08-14 00:00:00-04:00,6.77694593157087,6.77694593157087,6.573637553623744,6.641407012939453,379800,0.0,0.0,SandP500,FCX
1995-08-15 00:00:00-04:00,6.641406809618025,6.709176266859025,6.641406809618025,6.675291538238525,349600,0.0,0.0,SandP500,FCX
1995-08-16 00:00:00-04:00,6.743061270376648,6.7769460003785404,6.675291810372863,6.709176540374756,440200,0.0,0.0,SandP500,FCX
1995-08-17 00:00:00-04:00,6.7091768748724645,6.81083106994629,6.675292143181189,6.810831069946289,410600,0.0,0.0,SandP500,FCX
1995-08-18 00:00:00-04:00,6.810830661228724,6.810830661228724,6.6075222832815985,6.641407012939453,598800,0.0,0.0,SandP500,FCX
1995-08-21 00:00:00-04:00,6.675292641846174,6.743062110291313,6.573638439178466,6.573638439178467,440400,0.0,0.0,SandP500,FCX
1995-08-22 00:00:00-04:00,6.607525050640105,6.641409794489542,6.438101331392923,6.505870819091797,444200,0.0,0.0,SandP500,FCX
1995-08-23 00:00:00-04:00,6.539753797823789,6.539753797823789,6.268675920193788,6.404214859008789,193200,0.0,0.0,SandP500,FCX
1995-08-24 00:00:00-04:00,6.404214043771067,6.404214043771067,6.268675122209775,6.302559852600098,1284000,0.0,0.0,SandP500,FCX
1995-08-25 00:00:00-04:00,6.302560654897538,6.471984328416289,6.200906450786287,6.404214859008789,733400,0.0,0.0,SandP500,FCX
1995-08-28 00:00:00-04:00,6.404214043771067,6.404214043771067,6.234790391819452,6.302559852600098,447600,0.0,0.0,SandP500,FCX
1995-08-29 00:00:00-04:00,6.302559023997822,6.302559023997822,6.133135394320462,6.200904846191406,368600,0.0,0.0,SandP500,FCX
1995-08-30 00:00:00-04:00,6.133135934778162,6.370329037228146,6.133135934778162,6.268674850463867,398000,0.0,0.0,SandP500,FCX
1995-08-31 00:00:00-04:00,6.302560122892818,6.336444854736328,6.2686753910493085,6.336444854736328,417400,0.0,0.0,SandP500,FCX
1995-09-01 00:00:00-04:00,6.3025636926610416,6.404217945768478,6.3025636926610416,6.370333194732666,594600,0.0,0.0,SandP500,FCX
1995-09-05 00:00:00-04:00,6.438099593712539,6.471984328416289,6.3364453896012884,6.404214859008789,487600,0.0,0.0,SandP500,FCX
1995-09-06 00:00:00-04:00,6.4380977540740165,6.5058672041169014,6.404213029052574,6.471982479095459,476400,0.0,0.0,SandP500,FCX
1995-09-07 00:00:00-04:00,6.438098774161391,6.438098774161391,6.268675122209775,6.302559852600098,618000,0.0,0.0,SandP500,FCX
1995-09-08 00:00:00-04:00,6.3025598526000985,6.3364445829904215,6.268675122209775,6.302559852600098,1015600,0.0,0.0,SandP500,FCX
1995-09-11 00:00:00-04:00,6.302558115908973,6.505866442228617,6.2686733948557,6.43809700012207,279000,0.0,0.0,SandP500,FCX
1995-09-12 00:00:00-04:00,6.438101331392923,6.505870819091797,6.336447099844614,6.505870819091797,290000,0.0,0.0,SandP500,FCX
1995-09-13 00:00:00-04:00,6.607525348663329,6.743064330174372,6.607525348663329,6.60752534866333,325000,0.0,0.0,SandP500,FCX
1995-09-14 00:00:00-04:00,6.6075222832815985,6.641407012939452,6.539752823965889,6.641407012939453,491800,0.0,0.0,SandP500,FCX
1995-09-15 00:00:00-04:00,6.709176540374755,6.743061270376648,6.6414070803709695,6.709176540374756,1108600,0.0,0.0,SandP500,FCX
1995-09-18 00:00:00-04:00,6.709178708905551,6.743063449859619,6.675293967951482,6.743063449859619,609400,0.0,0.0,SandP500,FCX
1995-09-19 00:00:00-04:00,6.709178708905551,6.743063449859619,6.675293967951482,6.743063449859619,581600,0.0,0.0,SandP500,FCX
1995-09-20 00:00:00-04:00,6.709176540374755,6.743061270376648,6.675291810372863,6.709176540374756,597600,0.0,0.0,SandP500,FCX
1995-09-21 00:00:00-04:00,6.709176540374755,6.743061270376648,6.675291810372863,6.709176540374756,437400,0.0,0.0,SandP500,FCX
1995-09-22 00:00:00-04:00,6.641406809618025,6.709176266859025,6.607522080997525,6.675291538238525,832200,0.0,0.0,SandP500,FCX
1995-09-25 00:00:00-04:00,6.709176540374755,6.743061270376648,6.6414070803709695,6.709176540374756,436400,0.0,0.0,SandP500,FCX
1995-09-26 00:00:00-04:00,6.6752915382385245,6.743060995479525,6.641406809618025,6.675291538238525,571000,0.0,0.0,SandP500,FCX
1995-09-27 00:00:00-04:00,6.709176266859025,6.810830452720525,6.6752915382385245,6.675291538238525,893200,0.0,0.0,SandP500,FCX
1995-09-28 00:00:00-04:00,6.709177402439963,6.87860107421875,6.709177402439963,6.87860107421875,728200,0.0,0.0,SandP500,FCX
1995-09-29 00:00:00-04:00,6.878598771444181,7.048022386504382,6.84471404843214,6.946368217468262,300800,0.0,0.0,SandP500,FCX
1995-10-02 00:00:00-04:00,6.9802541732788095,6.9802541732788095,6.912484715285811,6.980254173278809,292800,0.0,0.0,SandP500,FCX
1995-10-03 00:00:00-04:00,6.946368217468261,6.980252940480302,6.84471404843214,6.946368217468262,197600,0.0,0.0,SandP500,FCX
1995-10-04 00:00:00-04:00,6.946370697021485,6.946370697021485,6.743062286376953,6.776947021484375,232000,0.0,0.0,SandP500,FCX
