Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Index,Ticker
1997-08-15 00:00:00-04:00,18.215766720655488,18.215766720655488,17.36190265562476,17.504213333129883,1385300,0.0,0.0,SandP500,RL
1997-08-18 00:00:00-04:00,17.883713914992963,17.978587728865605,17.409344845629754,17.83627700805664,551500,0.0,0.0,SandP500,RL
1997-08-19 00:00:00-04:00,17.741393610374214,18.40550994873047,17.741393610374214,18.40550994873047,380800,0.0,0.0,SandP500,RL
1997-08-20 00:00:00-04:00,18.879882598504786,19.449125289916992,18.737571925651736,19.449125289916992,621500,0.0,0.0,SandP500,RL
1997-08-21 00:00:00-04:00,19.259382219025582,19.401692925077494,18.59526559078332,18.78501319885254,479600,0.0,0.0,SandP500,RL
1997-08-22 00:00:00-04:00,18.31063552778594,18.690130564631247,18.215761768574616,18.595256805419922,408100,0.0,0.0,SandP500,RL
1997-08-25 00:00:00-04:00,18.974765100944932,19.022202013697296,18.35808523516422,18.452959060668945,230200,0.0,0.0,SandP500,RL
1997-08-26 00:00:00-04:00,18.40551723045639,18.92732313131984,18.310643430299397,18.73757553100586,296300,0.0,0.0,SandP500,RL
1997-08-27 00:00:00-04:00,18.927314962659562,18.974751842265224,18.40550928699727,18.595256805419922,619500,0.0,0.0,SandP500,RL
1997-08-28 00:00:00-04:00,18.595261185257524,19.259377656159575,18.500387403700085,19.21194076538086,492400,0.0,0.0,SandP500,RL
1997-08-29 00:00:00-04:00,19.211952005113872,20.397874968392507,19.16451508658273,19.923505783081055,686100,0.0,0.0,SandP500,RL
1997-09-02 00:00:00-04:00,20.018379620143346,20.06581653867449,19.35426276070731,19.923505783081055,414700,0.0,0.0,SandP500,RL
1997-09-03 00:00:00-04:00,19.923491992538782,20.018365763931822,19.7337444497527,19.78118133544922,265000,0.0,0.0,SandP500,RL
1997-09-04 00:00:00-04:00,19.733748204499772,19.97093267811155,19.35425304672093,19.54400062561035,237400,0.0,0.0,SandP500,RL
1997-09-05 00:00:00-04:00,19.92349541705588,20.065806098606277,19.401689584704414,19.638874053955078,151100,0.0,0.0,SandP500,RL
1997-09-08 00:00:00-04:00,19.54399978938361,19.733747360154325,19.21194154053486,19.25937843322754,91200,0.0,0.0,SandP500,RL
1997-09-09 00:00:00-04:00,19.164506097534794,19.3542536826589,18.690137134724527,18.879884719848633,318400,0.0,0.0,SandP500,RL
1997-09-10 00:00:00-04:00,18.87987876184208,18.87987876184208,18.35807306741931,18.40550994873047,365900,0.0,0.0,SandP500,RL
1997-09-11 00:00:00-04:00,18.215762423485824,18.785004999219755,18.215762423485824,18.40550994873047,721200,0.0,0.0,SandP500,RL
1997-09-12 00:00:00-04:00,18.50039367480656,18.690141302240473,18.21577223365569,18.54783058166504,234000,0.0,0.0,SandP500,RL
1997-09-15 00:00:00-04:00,18.73757968173725,19.638880982884107,18.59526894997722,19.117074966430664,855800,0.0,0.0,SandP500,RL
1997-09-16 00:00:00-04:00,19.449131395302565,19.686315924513572,19.164509960249358,19.354257583618164,384100,0.0,0.0,SandP500,RL
1997-09-17 00:00:00-04:00,19.544005193327052,20.065811157226562,19.449131381708963,20.065811157226562,922000,0.0,0.0,SandP500,RL
1997-09-18 00:00:00-04:00,20.35042396380747,20.540171506593552,19.7337444497527,19.78118133544922,1183200,0.0,0.0,SandP500,RL
1997-09-19 00:00:00-04:00,19.63887195855799,20.255551512812225,19.306813737036478,20.208114624023438,430300,0.0,0.0,SandP500,RL
1997-09-22 00:00:00-04:00,20.113250974076905,21.0619892275711,19.828629498028647,20.96711540222168,754400,0.0,0.0,SandP500,RL
1997-09-23 00:00:00-04:00,20.919674679125475,20.967111583159774,20.397868734748194,20.72992706298828,507200,0.0,0.0,SandP500,RL
1997-09-24 00:00:00-04:00,20.49273740047473,20.49273740047473,19.733747126383072,19.82862091064453,827400,0.0,0.0,SandP500,RL
1997-09-25 00:00:00-04:00,19.63887278238932,19.92349412706163,18.87988252992983,19.21194076538086,1051200,0.0,0.0,SandP500,RL
1997-09-26 00:00:00-04:00,20.302989831951816,20.49273740047473,19.686310234252343,19.82862091064453,1082500,0.0,0.0,SandP500,RL
1997-09-29 00:00:00-04:00,19.733758108956472,20.397874968392507,19.733758108956472,19.923505783081055,406300,0.0,0.0,SandP500,RL
1997-09-30 00:00:00-04:00,19.970938115814135,19.970938115814135,19.73375357762157,19.87606430053711,276700,0.0,0.0,SandP500,RL
1997-10-01 00:00:00-04:00,20.777358161078556,20.872231942635995,20.20811547173394,20.49273681640625,1058000,0.0,0.0,SandP500,RL
1997-10-02 00:00:00-04:00,20.492735956756164,20.58760973433374,20.208114624023438,20.208114624023438,486200,0.0,0.0,SandP500,RL
1997-10-03 00:00:00-04:00,20.20812455663141,20.587619853469562,19.9235030840028,20.113250732421875,904600,0.0,0.0,SandP500,RL
1997-10-06 00:00:00-04:00,20.113240846445862,20.3504252903898,19.733745736135564,20.208114624023438,451000,0.0,0.0,SandP500,RL
1997-10-07 00:00:00-04:00,20.113248838729678,20.113248838729678,19.638879762344544,19.87606430053711,418800,0.0,0.0,SandP500,RL
1997-10-08 00:00:00-04:00,19.68630347849403,19.68630347849403,19.2119347199761,19.306808471679688,444200,0.0,0.0,SandP500,RL
1997-10-09 00:00:00-04:00,19.117066025733948,19.828619351753822,18.974755360529976,19.733745574951172,337600,0.0,0.0,SandP500,RL
1997-10-10 00:00:00-04:00,19.543998021345875,20.06580379376045,19.449124244543224,19.733745574951172,268400,0.0,0.0,SandP500,RL
1997-10-13 00:00:00-04:00,20.018379620143346,20.113253457205634,19.733758108956472,19.923505783081055,233300,0.0,0.0,SandP500,RL
1997-10-14 00:00:00-04:00,19.923491992538782,20.018365763931822,19.543996906966616,19.78118133544922,230300,0.0,0.0,SandP500,RL
1997-10-15 00:00:00-04:00,19.59143291018595,19.78118044442504,19.35424849238709,19.496559143066406,223500,0.0,0.0,SandP500,RL
1997-10-16 00:00:00-04:00,19.68631514269321,19.73375204665151,18.879887775402164,19.06963539123535,319300,0.0,0.0,SandP500,RL
1997-10-17 00:00:00-04:00,19.1645169582415,19.1645169582415,18.59527388027393,18.83245849609375,236200,0.0,0.0,SandP500,RL
1997-10-20 00:00:00-04:00,18.642701730848867,18.785012431084354,18.40551723045639,18.73757553100586,153100,0.0,0.0,SandP500,RL
1997-10-21 00:00:00-04:00,18.832439713161758,19.449119099235066,18.785002837309964,19.306808471679688,306500,0.0,0.0,SandP500,RL
1997-10-22 00:00:00-04:00,19.306824038402144,19.68631935119629,18.974765639707268,19.68631935119629,255200,0.0,0.0,SandP500,RL
1997-10-23 00:00:00-04:00,18.785009283768503,20.1132422634289,18.785009283768503,19.82862091064453,626800,0.0,0.0,SandP500,RL
1997-10-24 00:00:00-04:00,20.492735255041787,20.682482803699582,20.1132401577262,20.39786148071289,814000,0.0,0.0,SandP500,RL
1997-10-27 00:00:00-05:00,19.781178795561498,19.923489434378485,18.595256805419922,18.595256805419922,395900,0.0,0.0,SandP500,RL
1997-10-28 00:00:00-05:00,17.55165516161451,19.449131395302565,17.314470632403502,19.354257583618164,1014000,0.0,0.0,SandP500,RL
1997-10-29 00:00:00-05:00,19.544013769319744,19.92350918231624,19.06964450307412,19.164518356323242,612200,0.0,0.0,SandP500,RL
1997-10-30 00:00:00-05:00,18.120897312069413,19.164509199151947,18.120897312069413,19.06963539123535,405100,0.0,0.0,SandP500,RL
1997-10-31 00:00:00-05:00,19.211939802536598,20.06580379376045,19.211939802536598,19.733745574951172,461600,0.0,0.0,SandP500,RL
1997-11-03 00:00:00-05:00,20.255553538646172,20.682485580444336,20.160679751579913,20.682485580444336,607400,0.0,0.0,SandP500,RL
